X (m),Y (m),Z (m),Temperature (K)
-6.609375,-0.90625,0,273.9727425
-6.59375,-0.90625,0,273.9663797
-6.578125,-0.90625,0,273.9663797
-6.5625,-0.90625,0,273.9606857
-6.546875,-0.90625,0,273.9552067
-6.53125,-0.90625,0,273.9552067
-6.515625,-0.90625,0,273.9488811
-6.5,-0.90625,0,273.9488811
-6.796875,-0.890625,0,274.0238203
-6.78125,-0.890625,0,274.0245896
-6.765625,-0.890625,0,274.019863
-6.75,-0.890625,0,274.0173685
-6.734375,-0.890625,0,274.0085707
-6.71875,-0.890625,0,274.0062804
-6.703125,-0.890625,0,274.0062804
-6.6875,-0.890625,0,274.0001136
-6.671875,-0.890625,0,273.9951193
-6.65625,-0.890625,0,273.9887483
-6.640625,-0.890625,0,273.9887483
-6.625,-0.890625,0,273.9788267
-6.609375,-0.890625,0,273.9788267
-6.59375,-0.890625,0,273.9724619
-6.578125,-0.890625,0,273.9674017
-6.5625,-0.890625,0,273.9606857
-6.546875,-0.890625,0,273.9606857
-6.53125,-0.890625,0,273.9615144
-6.515625,-0.890625,0,273.9492764
-6.5,-0.890625,0,273.9492764
-6.765625,-0.875,0,274.0245896
-6.75,-0.875,0,274.0173685
-6.734375,-0.875,0,274.0183965
-6.71875,-0.875,0,274.0117733
-6.703125,-0.875,0,274.0117733
-6.6875,-0.875,0,274.0001136
-6.671875,-0.875,0,274.0007254
-6.65625,-0.875,0,273.9917478
-6.640625,-0.875,0,273.9909707
-6.625,-0.875,0,273.9834922
-6.609375,-0.875,0,273.9834922
-6.59375,-0.875,0,273.9724619
-6.578125,-0.875,0,273.9734342
-6.5625,-0.875,0,273.9734342
-6.546875,-0.875,0,273.9666197
-6.53125,-0.875,0,273.9615144
-6.515625,-0.875,0,273.9538747
-6.5,-0.875,0,273.9550405
-6.71875,-0.859375,0,274.0117733
-6.703125,-0.859375,0,274.0121839
-6.6875,-0.859375,0,274.0121839
-6.671875,-0.859375,0,274.0050444
-6.65625,-0.859375,0,274.0049062
-6.640625,-0.859375,0,273.9969178
-6.625,-0.859375,0,273.9892847
-6.609375,-0.859375,0,273.9846309
-6.59375,-0.859375,0,273.9846309
-6.578125,-0.859375,0,273.9783626
-6.5625,-0.859375,0,273.9783626
-6.546875,-0.859375,0,273.9674489
-6.53125,-0.859375,0,273.9674489
-6.515625,-0.859375,0,273.96124
-6.5,-0.859375,0,273.9550405
-6.703125,-0.84375,0,274.0171525
-6.6875,-0.84375,0,274.0171525
-6.671875,-0.84375,0,274.0108721
-6.65625,-0.84375,0,274.0108721
-6.640625,-0.84375,0,274.0007051
-6.625,-0.84375,0,274.0007051
-6.609375,-0.84375,0,273.9905318
-6.59375,-0.84375,0,273.9905318
-6.578125,-0.84375,0,273.9841377
-6.5625,-0.84375,0,273.9792388
-6.546875,-0.84375,0,273.9725531
-6.53125,-0.84375,0,273.9725531
-6.515625,-0.84375,0,273.9617388
-6.5,-0.84375,0,273.9617388
-6.6875,-0.828125,0,274.0171805
-6.671875,-0.828125,0,274.0112312
-6.65625,-0.828125,0,274.0112312
-6.640625,-0.828125,0,274.0051731
-6.625,-0.828125,0,274.0007051
-6.609375,-0.828125,0,273.9952786
-6.59375,-0.828125,0,273.9952786
-6.578125,-0.828125,0,273.9849535
